,name,mp,3pa,2pa,reb,ast,stl,blk
81,Willie Cauley-Stein,9.2,0.1,1.7,2.0,0.5,0.3,0.2
82,Wendell Carter Jr.,29.9,3.5,7.6,10.5,2.8,0.6,0.7
83,Vernon Carey Jr.,6.3,0.0,1.9,1.7,0.0,0.3,0.1
84,Clint Capela,27.6,0.0,8.1,11.9,1.2,0.7,1.3
85,Thomas Bryant,16.3,1.6,3.9,4.0,0.9,0.2,0.8
86,Moses Brown,8.6,0.0,2.7,3.4,0.0,0.2,0.4
87,Tony Bradley,10.0,0.0,2.2,3.4,0.5,0.2,0.6
88,Nemanja Bjelica,16.1,2.1,2.7,4.1,2.2,0.6,0.4
89,Bismack Biyombo,14.1,0.0,4.0,4.6,0.6,0.3,0.7
90,Goga Bitadze,14.6,1.6,3.4,3.5,1.1,0.4,0.8
91,Khem Birch,18.0,0.3,3.4,4.3,1.0,0.5,0.5
92,Jordan Bell,2.0,0.0,0.0,1.0,0.0,1.0,0.0
93,Mo Bamba,25.7,4.0,4.7,8.1,1.2,0.5,1.7
94,Udoka Azubuike,11.5,0.0,2.9,4.2,0.0,0.1,0.6
95,Deandre Ayton,29.5,0.3,11.7,10.2,1.4,0.7,0.7
96,Jarrett Allen,32.3,0.2,9.6,10.8,1.6,0.8,1.3
97,LaMarcus Aldridge,22.3,1.0,8.8,5.5,0.9,0.3,1.0
98,Bam Adebayo,32.6,0.1,12.9,10.1,3.4,1.4,0.8
99,Steven Adams,26.3,0.0,5.0,10.0,3.4,0.9,0.8
100,Precious Achiuwa,23.6,2.1,6.1,6.5,1.1,0.5,0.6
101,Domantas Sabonis,34.5,2.0,10.5,12.1,5.2,1.0,0.4
102,Serge Ibaka,16.2,1.8,3.6,4.6,0.9,0.2,0.6
