,name,mp,3pa,2pa,3p,2p,reb,ast,stl,blk,salary
60,Anthony Davis,35.1,1.8,15.6,0.3,8.9,9.9,3.1,1.2,2.3,"35,361,360"
61,DeMarcus Cousins,15,2.5,4.2,0.8,2.3,5.6,1.5,0.7,0.4,"1,290,481"
62,Nic Claxton,20.7,0,5.6,0,3.8,5.6,0.9,0.5,1.1,"1,782,621"
63,Wendell Carter Jr.,29.9,3.5,7.6,1.1,4.7,10.5,2.8,0.6,0.7,"6,920,027"
64,Clint Capela,27.6,0,8.1,0,5,11.9,1.2,0.7,1.3,"17,103,448"
65,Thomas Bryant,16.3,1.6,3.9,0.4,2.4,4,0.9,0.2,0.8,"8,730,159"
66,Nemanja Bjelica,16.1,2.1,2.7,0.8,1.5,4.1,2.2,0.6,0.4,"2,089,448"
67,Bismack Biyombo,14.1,0,4,0,2.4,4.6,0.6,0.3,0.7,"1,366,392"
68,Goga Bitadze,14.6,1.6,3.4,0.5,2.2,3.5,1.1,0.4,0.8,"3,098,400"
69,Khem Birch,18,0.3,3.4,0,1.8,4.3,1,0.5,0.5,"6,350,000"
70,Mo Bamba,25.7,4,4.7,1.5,2.7,8.1,1.2,0.5,1.7,"7,568,742"
71,Udoka Azubuike,11.5,0,2.9,0,2.2,4.2,0,0.1,0.6,"2,075,880"
72,Deandre Ayton,29.5,0.3,11.7,0.1,7.5,10.2,1.4,0.7,0.7,"12,632,950"
73,Jarrett Allen,32.3,0.2,9.6,0,6.6,10.8,1.6,0.8,1.3,"20,000,000"
74,LaMarcus Aldridge,22.3,1,8.8,0.3,5.1,5.5,0.9,0.3,1,"2,641,691"
75,Bam Adebayo,32.6,0.1,12.9,0,7.3,10.1,3.4,1.4,0.8,"28,103,550"
76,Steven Adams,26.3,0,5,0,2.8,10,3.4,0.9,0.8,"17,073,171"
77,Precious Achiuwa,23.6,2.1,6.1,0.8,2.9,6.5,1.1,0.5,0.6,"2,711,280"
78,Domantas Sabonis,34.5,2,10.5,0.6,6.5,12.1,5.2,1,0.4,"18,562,500"
79,Serge Ibaka,16.2,1.8,3.6,0.7,2.1,4.6,0.9,0.2,0.6,"9,742,000"
